year,case,,,,,
,,,3.19313E-87,,,
,,,2.5545E-87,,,
,,,2.0436E-87,,,
,,,1.63488E-87,,,
,,,1.30791E-87,,,
,,,1.04632E-87,,,
,,,8.3706E-88,,,
,,,6.69648E-88,,,
,,,5.35718E-88,,,
,,,4.28575E-88,,,
,,,3.4286E-88,,,
,,,2.74288E-88,,,
,,,2.1943E-88,,,
,,,1.75544E-88,,,
,,,1.40435E-88,,,
,,,1.12348E-88,,,
,,,8.98786E-89,,,
,,,7.19029E-89,,,
,,,5.75223E-89,,,
,,,4.60179E-89,,,
,,,3.68143E-89,,,
,,,2.94514E-89,,,
,,,2.35611E-89,,,
,,,1.88489E-89,,,
,,,1.50791E-89,,,
,,,1.20633E-89,,,
,,,9.65064E-90,,,
,,,7.72052E-90,,,
,,,6.17641E-90,,,
,,,4.94113E-90,,,
,,,3.9529E-90,,,
,,,3.16232E-90,,,
,,,2.52986E-90,,,
,,,2.02389E-90,,,
,,,1.61911E-90,,,
,,,1.29529E-90,,,
,,,1.03623E-90,,,
,,,8.28984E-91,,,
,,,6.63187E-91,,,
,,,5.3055E-91,,,
,,,4.2444E-91,,,
,,,3.39552E-91,,,
,,,2.71641E-91,,,
,,,2.17313E-91,,,
,,,1.73851E-91,,,
,,,1.3908E-91,,,
,,,1.11264E-91,,,
,,,8.90115E-92,,,
,,,7.12092E-92,,,
,,,5.69673E-92,,,
,,,4.55739E-92,,,
,,,3.64591E-92,,,
